group,experiment,split,metric,value,resolution_or_scope,source,notes
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,bridge_6.dice,0.8816469858187549,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation,,direct.dice,0.8330203685327636,varies; see source path,work/kvasir_1pct_anchors/hybrid_text_knn_lambda02/sam3enc_anchor_conditioned_target_pooling/eval_base_no_ft_b7_forward_validation/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_1.dice,0.8482619494857692,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_2.dice,0.8637801799985428,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_3.dice,0.881647071657538,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_4.dice,0.8824818648384389,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_5.dice,0.8881353632574519,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,bridge_6.dice,0.8774009433536181,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward,,direct.dice,0.7889968670830129,varies; see source path,work/kvasir_1pct_anchors/joint_original_mask_text01/sam3enc_original_mask_joint/eval_base_no_ft_b7_forward/route_family_summary.json,
route_or_bridge,work/kvasir_1pct_anchors/lora_experiment/test_eval/ft3ep_1pct_e1/anchor_conditioned_patch_correspondence/eval_base_no_ft_b7_forward,,bridge_1.dice,0.693378656276122,varies; see source path,work/kvasir_1pct_anchors/lora_experiment/test_eval/ft3ep_1pct_e1/anchor_conditioned_patch_correspondence/eval_base_no_ft_b7_forward/route_family_summary.json,
